x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
0.1304,101.5000,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.1565,101.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.1826,100.8333,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.2087,100.5000,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.2348,100.3333,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.2609,100.0000,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.2870,99.8333,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.3130,99.6667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.3391,99.6667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.3652,99.5000,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.3913,99.3333,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.4174,99.3333,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.4435,99.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.4696,99.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.4957,99.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.5217,99.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
0.5478,99.1667,days,mmHg,28556624,Fig 3,SS,ACEi_MAP,digitize_app_figs.py,2026-06-25
